,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
378,203114,"Middleton, Khris",Khris Middleton,1,2012,2021,khris_middleton,khris_middleton,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01
380,201988,"Mills, Patty",Patty Mills,1,2009,2021,patty_mills,patty_mills,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,01
381,200794,"Millsap, Paul",Paul Millsap,1,2006,2021,paul_millsap,paul_millsap,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00
382,1629003,"Milton, Shake",Shake Milton,1,2018,2021,shake_milton,shake_milton,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,01
383,1630558,"Mitchell, Davion",Davion Mitchell,1,2021,2021,davion_mitchell,davion_mitchell,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00
384,1628378,"Mitchell, Donovan",Donovan Mitchell,1,2017,2021,donovan_mitchell,donovan_mitchell,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,00
385,1630596,"Mobley, Evan",Evan Mobley,1,2021,2021,evan_mobley,evan_mobley,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00
386,1628370,"Monk, Malik",Malik Monk,1,2017,2021,malik_monk,malik_monk,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,01
387,202328,"Monroe, Greg",Greg Monroe,1,2010,2021,greg_monroe,greg_monroe,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,11
388,1630541,"Moody, Moses",Moses Moody,1,2021,2021,moses_moody,moses_moody,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,11
389,1629875,"Moon, Xavier",Xavier Moon,1,2021,2021,xavier_moon,xavier_moon,1610612746,LA,Clippers,LAC,clippers,clippers,Y,11
391,1629630,"Morant, Ja",Ja Morant,1,2019,2021,ja_morant,ja_morant,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,00
392,1629752,"Morgan, Juwan",Juwan Morgan,1,2019,2021,juwan_morgan,juwan_morgan,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,11
394,202693,"Morris, Markieff",Markieff Morris,1,2011,2021,markieff_morris,markieff_morris,1610612748,Miami,Heat,MIA,heat,heat,Y,00
395,1628420,"Morris, Monte",Monte Morris,1,2017,2021,monte_morris,monte_morris,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,01
396,202694,"Morris Sr., Marcus",Marcus Morris Sr.,1,2011,2021,marcus_morris,marcus_morris_sr,1610612746,LA,Clippers,LAC,clippers,clippers,Y,01
398,1628539,"Mulder, Mychal",Mychal Mulder,1,2019,2021,mychal_mulder,mychal_mulder,1610612748,Miami,Heat,MIA,heat,heat,Y,11
400,1630530,"Murphy III, Trey",Trey Murphy III,1,2021,2021,trey_murphy_iii,trey_murphy_iii,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,11
401,1627749,"Murray, Dejounte",Dejounte Murray,1,2016,2021,dejounte_murray,dejounte_murray,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01
402,1627750,"Murray, Jamal",Jamal Murray,1,2016,2021,jamal_murray,jamal_murray,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,00
403,203488,"Muscala, Mike",Mike Muscala,1,2013,2021,mike_muscala,mike_muscala,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,01
404,1629004,"Mykhailiuk, Svi",Svi Mykhailiuk,1,2018,2021,sviatoslav_mykhailiuk,svi_mykhailiuk,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,11
406,1626204,"Nance Jr., Larry",Larry Nance Jr.,1,2015,2021,larry_nance_jr,larry_nance_jr,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,00
407,1630612,"Nembhard Jr., RJ",RJ Nembhard Jr.,1,2021,2021,rj_nembhard_jr,rj_nembhard_jr,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,11
408,1630174,"Nesmith, Aaron",Aaron Nesmith,1,2020,2021,aaron_nesmith,aaron_nesmith,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,11
409,203526,"Neto, Raul",Raul Neto,1,2015,2021,raul_neto,raul_neto,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,01
411,1627777,"Niang, Georges",Georges Niang,1,2016,2021,georges_niang,georges_niang,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,01
412,1630227,"Nix, Daishen",Daishen Nix,1,2021,2021,daishen_nix,daishen_nix,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,11
413,1630192,"Nnaji, Zeke",Zeke Nnaji,1,2020,2021,zeke_nnaji,zeke_nnaji,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,00
414,203457,"Noel, Nerlens",Nerlens Noel,1,2013,2021,nerlens_noel,nerlens_noel,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00
415,1629669,"Nowell, Jaylen",Jaylen Nowell,1,2019,2021,jaylen_nowell,jaylen_nowell,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01
416,1628373,"Ntilikina, Frank",Frank Ntilikina,1,2017,2021,frank_ntilikina,frank_ntilikina,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,00
417,1629134,"Nunn, Kendrick",Kendrick Nunn,1,2018,2021,kendrick_nunn,kendrick_nunn,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,01
418,203994,"Nurkic, Jusuf",Jusuf Nurkic,1,2014,2021,jusuf_nurkic,jusuf_nurkic,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,00
419,1628021,"Nwaba, David",David Nwaba,1,2016,2021,david_nwaba,david_nwaba,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,01
420,1629670,"Nwora, Jordan",Jordan Nwora,1,2020,2021,jordan_nwora,jordan_nwora,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,11
421,1626220,"O'Neale, Royce",Royce O'Neale,1,2017,2021,royce_o'neale,royce_oneale,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,01
423,1629643,"Okeke, Chuma",Chuma Okeke,1,2020,2021,chuma_okeke,chuma_okeke,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
424,1629006,"Okogie, Josh",Josh Okogie,1,2018,2021,josh_okogie,josh_okogie,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,00
425,1630168,"Okongwu, Onyeka",Onyeka Okongwu,1,2020,2021,onyeka_okongwi,onyeka_okongwu,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,00
426,1630171,"Okoro, Isaac",Isaac Okoro,1,2020,2021,isaac_okoro,isaac_okoro,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00
428,203506,"Oladipo, Victor",Victor Oladipo,1,2013,2021,victor_oladipo,victor_oladipo,1610612748,Miami,Heat,MIA,heat,heat,Y,00
430,203482,"Olynyk, Kelly",Kelly Olynyk,1,2013,2021,kelly_olynyk,kelly_olynyk,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00
433,1626224,"Osman, Cedi",Cedi Osman,1,2017,2021,cedi_osman,cedi_osman,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,01
435,1626162,"Oubre Jr., Kelly",Kelly Oubre Jr.,1,2015,2021,kelly_oubre_jr,kelly_oubre_jr,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,00
440,1629672,"Paschall, Eric",Eric Paschall,1,2019,2021,eric_paschall,eric_paschall,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,00
441,101108,"Paul, Chris",Chris Paul,1,2005,2021,chris_paul,chris_paul,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00
442,1626166,"Payne, Cameron",Cameron Payne,1,2015,2021,cameron_payne,cameron_payne,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01
443,203901,"Payton, Elfrid",Elfrid Payton,1,2014,2021,elfrid_payton,elfrid_payton,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00
444,1627780,"Payton II, Gary",Gary Payton II,1,2016,2021,gary_payton_ii,gary_payton_ii,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,01
447,1630691,"Pickett, Jamorko",Jamorko Pickett,1,2021,2021,jamorko_pickett,jamorko_pickett,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,11
448,1629033,"Pinson, Theo",Theo Pinson,1,2018,2021,theo_pinson,theo_pinson,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,11
449,203486,"Plumlee, Mason",Mason Plumlee,1,2013,2021,mason_plumlee,mason_plumlee,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,00
450,1627751,"Poeltl, Jakob",Jakob Poeltl,1,2016,2021,jakob_poeltl,jakob_poeltl,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01
451,1630197,"Pokusevski, Aleksej",Aleksej Pokusevski,1,2020,2021,aleksej_pokusevski,aleksej_pokusevski,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,11
