,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
529,1630591,"Suggs, Jalen",Jalen Suggs,1,2021,2021,jalen_suggs,jalen_suggs,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
532,1630256,"Tate, Jae'Sean",Jae'Sean Tate,1,2020,2021,jaesean_tate,jaesean_tate,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,00
533,1628369,"Tatum, Jayson",Jayson Tatum,1,2017,2021,jayson_tatum,jayson_tatum,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,00
534,1630678,"Taylor, Terry",Terry Taylor,1,2021,2021,terry_taylor,terry_taylor,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,11
535,202066,"Temple, Garrett",Garrett Temple,1,2009,2021,garrett_temple,garrett_temple,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,01
537,1630179,"Terry, Tyrell",Tyrell Terry,1,2020,2021,tyrell_terry,tyrell_terry,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,11
539,1628464,"Theis, Daniel",Daniel Theis,1,2017,2021,daniel_theis,daniel_theis,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,00
540,1630271,"Thomas, Brodric",Brodric Thomas,1,2020,2021,brodric_thomas,brodric_thomas,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,11
541,1630560,"Thomas, Cam",Cam Thomas,1,2021,2021,cam_thomas,cam_thomas,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,00
542,202738,"Thomas, Isaiah",Isaiah Thomas,1,2011,2021,isaiah_thomas,isaiah_thomas,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,11
543,1629744,"Thomas, Matt",Matt Thomas,1,2019,2021,matt_thomas,matt_thomas,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,01
544,202691,"Thompson, Klay",Klay Thompson,1,2011,2021,klay_thompson,klay_thompson,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,00
545,202684,"Thompson, Tristan",Tristan Thompson,1,2011,2021,tristan_thompson,tristan_thompson,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00
546,1630550,"Thor, JT",JT Thor,1,2021,2021,jt_thor,jt_thor,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,11
547,1629680,"Thybulle, Matisse",Matisse Thybulle,1,2019,2021,matisse_thybulle,matisse_thybulle,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00
548,1629681,"Tillie, Killian",Killian Tillie,1,2020,2021,killian_tillie,killian_tillie,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,11
549,1630214,"Tillman, Xavier",Xavier Tillman,1,2020,2021,xavier_tillman,xavier_tillman,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,00
550,1630225,"Todd, Isaiah",Isaiah Todd,1,2021,2021,isaiah_todd,isaiah_todd,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,11
551,1630167,"Toppin, Obi",Obi Toppin,1,2020,2021,obi_toppin,obi_toppin,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00
552,1629308,"Toscano-Anderson, Juan",Juan Toscano-Anderson,1,2019,2021,juan_toscano-anderson,juan_toscano-anderson,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,01
553,1626157,"Towns, Karl-Anthony",Karl-Anthony Towns,1,2015,2021,karl-anthony_towns,karl-anthony_towns,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,00
554,1629018,"Trent Jr., Gary",Gary Trent Jr.,1,2018,2021,gary_trent_jr,gary_trent_jr,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,01
555,200782,"Tucker, P.J.",P.J. Tucker,1,2006,2021,pj_tucker,pj_tucker,1610612748,Miami,Heat,MIA,heat,heat,Y,01
556,1629730,"Tucker, Rayjon",Rayjon Tucker,1,2019,2021,rayjon_tucker,rayjon_tucker,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,11
557,1626167,"Turner, Myles",Myles Turner,1,2015,2021,myles_turner,myles_turner,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,00
558,202685,"Valanciunas, Jonas",Jonas Valanciunas,1,2012,2021,jonas_valanciunas,jonas_valanciunas,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,00
560,1627832,"VanVleet, Fred",Fred VanVleet,1,2016,2021,fred_vanvleet,fred_vanvleet,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,01
561,1629020,"Vanderbilt, Jarred",Jarred Vanderbilt,1,2018,2021,jarred_vanderbilt,jarred_vanderbilt,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01
562,1630170,"Vassell, Devin",Devin Vassell,1,2020,2021,devin_vassell,devin_vassell,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,00
564,1629216,"Vincent, Gabe",Gabe Vincent,1,2019,2021,gabe_vincent,gabe_vincent,1610612748,Miami,Heat,MIA,heat,heat,Y,01
565,202696,"Vucevic, Nikola",Nikola Vucevic,1,2011,2021,nikola_vucevic,nikola_vucevic,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00
566,1629731,"Wade, Dean",Dean Wade,1,2019,2021,dean_wade,dean_wade,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,01
567,1630532,"Wagner, Franz",Franz Wagner,1,2021,2021,franz_wagner,franz_wagner,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
568,1629021,"Wagner, Moritz",Moritz Wagner,1,2018,2021,moritz_wagner,moritz_wagner,1610612753,Orlando,Magic,ORL,magic,magic,Y,01
569,1630688,"Wainright, Ish",Ish Wainright,1,2021,2021,ish_wainwright,ish_wainright,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00
570,202689,"Walker, Kemba",Kemba Walker,1,2011,2021,kemba_walker,kemba_walker,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00
572,1629022,"Walker IV, Lonnie",Lonnie Walker IV,1,2018,2021,lonnie_walker,lonnie_walker_iv,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01
573,202322,"Wall, John",John Wall,1,2010,2021,john_wall,john_wall,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,00
577,203933,"Warren, T.J.",T.J. Warren,1,2014,2021,tj_warren,tj_warren,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,01
578,1629023,"Washington, P.J.",P.J. Washington,1,2019,2021,pj_washington,pj_washington,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,00
579,1630613,"Washington Jr., Duane",Duane Washington Jr.,1,2021,2021,duane_washington_jr,duane_washington_jr,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,00
580,1629139,"Watanabe, Yuta",Yuta Watanabe,1,2018,2021,yuta_watanabe,yuta_watanabe,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,11
582,1630322,"Waters III, Lindy",Lindy Waters III,1,2021,2021,lindy_waters_iii,lindy_waters_iii,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,11
583,1630570,"Watford, Trendon",Trendon Watford,1,2021,2021,trendon_watford,trendon_watford,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,00
585,1629683,"Weatherspoon, Quinndary",Quinndary Weatherspoon,1,2019,2021,quinndary_weatherspoon,quinndary_weatherspoon,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,11
586,201566,"Westbrook, Russell",Russell Westbrook,1,2008,2021,russell_westbrook,russell_westbrook,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,00
587,1629632,"White, Coby",Coby White,1,2019,2021,coby_white,coby_white,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00
588,1628401,"White, Derrick",Derrick White,1,2017,2021,derrick_white,derrick_white,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,01
589,202355,"Whiteside, Hassan",Hassan Whiteside,1,2010,2021,hassan_whiteside,hassan_whiteside,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,01
590,1630580,"Wieskamp, Joe",Joe Wieskamp,1,2021,2021,joe_wieskamp,joe_wieskamp,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,11
591,1630598,"Wiggins, Aaron",Aaron Wiggins,1,2021,2021,aaron_wiggins,aaron_wiggins,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,00
592,203952,"Wiggins, Andrew",Andrew Wiggins,1,2014,2021,andrew_wiggins,andrew_wiggins,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,00
593,1629623,"Wigginton, Lindell",Lindell Wigginton,1,2021,2021,lindell_wigginton,lindell_wigginton,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,11
594,1630314,"Williams, Brandon",Brandon Williams,1,2021,2021,tmp_brandon_williams,brandon_williams,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,11
595,1629684,"Williams, Grant",Grant Williams,1,2019,2021,grant_williams,grant_williams,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,00
596,1629026,"Williams, Kenrich",Kenrich Williams,1,2018,2021,kenrich_williams,kenrich_williams,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,01
597,101150,"Williams, Lou",Lou Williams,1,2005,2021,lou_williams,lou_williams,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,01
598,1630172,"Williams, Patrick",Patrick Williams,1,2020,2021,patrick_williams,patrick_williams,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00
599,1630533,"Williams, Ziaire",Ziaire Williams,1,2021,2021,ziaire_williams,ziaire_williams,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,00
600,1629057,"Williams III, Robert",Robert Williams III,1,2018,2021,robert_williams,robert_williams_iii,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,01
601,1629627,"Williamson, Zion",Zion Williamson,1,2019,2021,zion_williamson,zion_williamson,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,00
603,1629685,"Windler, Dylan",Dylan Windler,1,2019,2021,dylan_windler,dylan_windler,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,11
604,1626159,"Winslow, Justise",Justise Winslow,1,2015,2021,justise_winslow,justise_winslow,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,00
605,1630216,"Winston, Cassius",Cassius Winston,1,2020,2021,cassius_winston,cassius_winston,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,11
606,1630164,"Wiseman, James",James Wiseman,1,2020,2021,james_wiseman,james_wiseman,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,11
607,1626174,"Wood, Christian",Christian Wood,1,2015,2021,christian_wood,christian_wood,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,01
608,1630218,"Woodard II, Robert",Robert Woodard II,1,2020,2021,robert_woodard_ii,robert_woodard_ii,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,11
609,1626153,"Wright, Delon",Delon Wright,1,2015,2021,delon_wright,delon_wright,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,01
610,1630589,"Wright, Moses",Moses Wright,1,2021,2021,moses_wright,moses_wright,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,11
611,1630593,"Wright IV, McKinley",McKinley Wright IV,1,2021,2021,mckinley_wright_iv,mckinley_wright_iv,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,11
612,1628221,"York, Gabe",Gabe York,1,2021,2021,gabe_york,gabe_york,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,11
613,201152,"Young, Thaddeus",Thaddeus Young,1,2007,2021,thaddeus_young,thaddeus_young,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00
614,1629027,"Young, Trae",Trae Young,1,2018,2021,trae_young,trae_young,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,00
615,1630209,"Yurtseven, Omer",Omer Yurtseven,1,2020,2021,tmp_omer_yurtseven,omer_yurtseven,1610612748,Miami,Heat,MIA,heat,heat,Y,01
617,1627826,"Zubac, Ivica",Ivica Zubac,1,2016,2021,ivica_zubac,ivica_zubac,1610612746,LA,Clippers,LAC,clippers,clippers,Y,01
